新欧尚餐厅,金鸡湖路205号欧尚超市二楼铺位号603-2001, WiFi 
浔南餐厅,兴南街瓷都世纪城一、二层, WiFi 全天营业 店内参观 生日餐会 
育秀餐厅,厦门工人体育馆中心广场地下一层, WiFi 店内参观 生日餐会 
嘉禾餐厅,莲坂“阳光世纪广场”一、二层, WiFi 全天营业 生日餐会 
鼓浪屿餐厅,龙头路8号三友旅游城1F, WiFi 店内参观 
临江餐厅,临江南路以南、榕华大道以东,江南新城二期易初莲花购物中心首层, WiFi 全天营业 店内参观 生日餐会 
中心车站餐厅,丰泽区泉秀路中段北侧泉州客运中心站站前广场西侧圆形店面, WiFi 全天营业 
惠兴餐厅,螺城镇中山北路惠兴街北侧第二、四座一到三层商场, WiFi 全天营业 店内参观 生日餐会 
池尾餐厅,广达路美佳乐购物广场一、二层, WiFi 全天营业 店内参观 生日餐会 
东门桥餐厅,文光街道中山中路59号楼一、二层, WiFi 全天营业 店内参观 生日餐会 
罗宾森广场餐厅,厦禾路885号罗宾森广场一层, WiFi 店内参观 生日餐会 
机场餐厅,高崎国际机场3号候机楼二层国际出发厅, WiFi 
晋江城市广场餐厅,罗山街道福埔开发区SM城广场一层、负一层, 店内参观 生日餐会 
乐海餐厅,乐海路23号二层, WiFi 店内参观 
湖里万达餐厅,万达商业广场一层, WiFi 店内参观 生日餐会 
汇景新城餐厅,祥福五里23号汇景新城中心一层, WiFi 全天营业 
后滨餐厅,后滨路12号1号楼一层(A-102)、二层（A-201）, WiFi 全天营业 店内参观 生日餐会 
南安金街餐厅,枊城办事处成功街中段南侧东方伟业（南安）城广场一、二层, WiFi 店内参观 生日餐会 
龙岩万阳餐厅,龙岩大道与西陂路交界口万阳城大润发1号店面, WiFi 全天营业 店内参观 生日餐会 
潮安潮汕路餐厅,潮汕公路与安北路交界处东南角潮安卜峰莲花场首层B1A－13店铺, WiFi 全天营业 店内参观 生日餐会 
普宁服装城餐厅,国际服装城客运站大楼南一、二层店面, WiFi 
厦门海沧新阳餐厅,新盛路19号2号楼一号店面一、二层, WiFi 全天营业 店内参观 生日餐会 
厦门绿苑新城餐厅,沧林东路278号绿苑新城天虹商场一层, WiFi 店内参观 生日餐会 
漳浦龙湖餐厅,漳浦县绥安镇龙湖路中段城广场3号楼一、二层, WiFi 店内参观 生日餐会 
普宁吉祥里餐厅,占陇镇镇区广汕公路南侧汇润-吉祥里商业楼正面商铺, WiFi 全天营业 店内参观 生日餐会 
晋江万达餐厅,晋江市梅岭街道世纪大道888号万达广场2层201号, 店内参观 生日餐会 
泉州万达餐厅,丰泽区宝洲路浦西万达广场三楼, 店内参观 生日餐会 
漳州万达广场餐厅,九龙大道以东、建元路以南万达广场2--32号, WiFi 店内参观 生日餐会 
厦门北站餐厅,后溪镇厦门北站候车层三楼903号商铺,到达层一楼B14号商铺, WiFi 店内参观 生日餐会 
揭阳临江北餐厅,仁港商业街, WiFi 全天营业 店内参观 生日餐会 
瑞景餐厅,洪文居住区瑞景商业广场一层A01及二层A01单, WiFi 全天营业 店内参观 生日餐会 
闽南印象DT汽车穿梭餐厅,祥店刘厝旧村E地块, WiFi 全天营业 店内参观 生日餐会 
肯德基迎宾餐厅餐厅,清濛经济技术开发区诺林商城1号楼一、二层, WiFi 全天营业 店内参观 生日餐会 
水仙DT餐厅,芗城区水仙大街与丹霞路交汇处东南加油站旁肯德基, WiFi 店内参观 生日餐会 
阿罗海DT餐厅,行政中心南侧滨湖路阿罗海城广场一层、二层, WiFi 店内参观 生日餐会 
晋江泉安路DT餐厅,池店镇东山村泉安路俊德大厦（长荣加油站附属楼）一层101，二层202, WiFi 店内参观 
漳州角美DT餐厅餐厅,角美镇石厝村丰泰财富广场第3幢1-4号, 店内参观 生日餐会 
世纪公园餐厅餐厅,洪山综合区华港汽车城E幢一层, WiFi 生日餐会 
长兴餐厅餐厅,长兴街2号, WiFi 店内参观 
本溪好佳餐厅餐厅,水塔路7号, WiFi 店内参观 
总统餐厅餐厅,和平北大街65号, WiFi 
新甘百餐厅,甘井子街8号新甘百商城一层, WiFi 店内参观 生日餐会 
大连北站餐厅,大连北站(南关岭火车站)二楼商业夹层, WiFi 
大连站北餐厅,大连北站(南关岭火车站)候车大厅地下一层, WiFi 
成义餐厅,西安路60号民勇大厦一楼, WiFi 全天营业 店内参观 
黄河路餐厅,黄河路665号家乐福超市B1层, WiFi 
斯大林路餐厅,斯大林路675号联营公司一楼, WiFi 全天营业 店内参观 生日餐会 
和平广场餐厅,中山路552号, WiFi 店内参观 
大华餐厅,大华街2号, WiFi 全天营业 生日餐会 
金马餐厅,金马路189号, WiFi 全天营业 
大连中山餐厅,中山路261号, WiFi 全天营业 
锦绣餐厅,锦绣路58号, WiFi 店内参观 生日餐会 
火车站餐厅,长江路261号, WiFi 
凌水餐厅,凌水路154号, WiFi 店内参观 
庄河餐厅,黄海广场1号, WiFi 店内参观 生日餐会 
友好广场餐厅,友好广场8号, WiFi 全天营业 店内参观 
鲁迅路餐厅,鲁迅路29-5号, WiFi 全天营业 
安盛餐厅,斯大林路677号安盛购物广场一楼, WiFi 店内参观 生日餐会 
春柳餐厅,西南路872号五洲大厦, WiFi 全天营业 店内参观 
昌临餐厅,金马路232号, WiFi 全天营业 店内参观 
华南餐厅,中华西路22号安盛购物广场一楼, WiFi 全天营业 生日餐会 
嘉泰餐厅,共济办事处西长春路一段九十一号, WiFi 全天营业 店内参观 生日餐会 
万和广场餐厅,金马路208号万和汇地下一层, WiFi 店内参观 生日餐会 
商业城餐厅,共济办事处国光委新商业城一层, WiFi 店内参观 生日餐会 
周水子餐厅,迎客路168号, WiFi 
东浩餐厅,建设街12号, WiFi 
罗斯福餐厅,西安路139号1号, WiFi 店内参观 
东特餐厅,华北路8G, WiFi 店内参观 生日餐会 
硅谷餐厅,高新技术产业园区黄浦路600号, WiFi 全天营业 店内参观 
幸福餐厅,五一路104-6号地上一、二层, WiFi 生日餐会 
新马栏餐厅,黄河路益嘉广场19号商铺, WiFi 全天营业 生日餐会 
新绿洲餐厅,西南路绿洲园122-130号, WiFi 店内参观 生日餐会 
迎客路餐厅,迎客路6号, WiFi 全天营业 店内参观 
金石餐厅,大连丹枫路1-1号, WiFi 
数码广场餐厅,沙河口区数码路北段30号, WiFi 全天营业 
星海DT餐厅,中山路634号星海公园内, WiFi 
中南路餐厅餐厅,中南路219号近大商新玛特超市, WiFi 
车百餐厅餐厅,东风大街38号, 店内参观 生日餐会 
北一路万达餐厅,北一中路1号, 店内参观 生日餐会 
北站站内餐厅,北站路102号, WiFi 全天营业 
长白山餐厅,松江河填万达南区商业街白云路579号1楼186、187号, WiFi 
黄海餐厅,大东区大东街37号, WiFi 店内参观 生日餐会 
国泰餐厅,二道街68号, WiFi 
天津街餐厅,天津街1088号, WiFi 店内参观 生日餐会 
吉百餐厅,重庆路1299号, WiFi 生日餐会 
福林餐厅,同志街68号, WiFi 全天营业 店内参观 
乐购餐厅,（实验中学对面）黄河南大街78甲A一层, WiFi 生日餐会 
吉盛餐厅,东盛大街交吉林大路西南亚泰广场1-2层, WiFi 生日餐会 
时代餐厅,工农大路1015号时代服饰广场一层, 店内参观 
吉润发餐厅,东市场大润发一店一层, WiFi 店内参观 生日餐会 
新世纪餐厅,新运大街54号, WiFi 店内参观 
正良餐厅,道义南大街28号（华润万家一层）, WiFi 店内参观 生日餐会 
六纬餐厅,六纬路32号, WiFi 店内参观 生日餐会 
星摩尔餐厅,北二中路6号星摩尔购物中心一楼, WiFi 店内参观 生日餐会 
中百餐厅,中央大街三段1号, WiFi 店内参观 
铁百餐厅,兴华南街16号, WiFi 
新华餐厅,兴工街1号, WiFi 全天营业 
崇智餐厅,重庆路1388号（沃尔玛购物广场二楼）, 店内参观 
南五餐厅,南京南街78号南五大润发一楼, WiFi 全天营业 生日餐会 
盘锦中兴餐厅,商东小区88-18-19, WiFi 店内参观 生日餐会 
古塔餐厅,青年会路与步行街交叉路口北二里18号大润发一楼肯德基, WiFi 生日餐会 
营口东升餐厅,东升路30号(大福源一楼), WiFi 全天营业 店内参观 生日餐会 
彩云餐厅,青年路81号, WiFi 生日餐会 
解放餐厅,解放大街59号, WiFi 店内参观 生日餐会 
宽平餐厅,红旗街2345号，都会大厦一楼, WiFi 店内参观 生日餐会 
钟楼餐厅,中街路190号, WiFi 
长春西站餐厅,安庆北路西客站候车棚, WiFi 
正兴餐厅,贡院街119号, WiFi 店内参观 
热河餐厅,热河路2号, WiFi 店内参观 生日餐会 
常润发餐厅,关河东路58号, WiFi 店内参观 生日餐会 
广润发餐厅,邗江路2号广润发餐厅, WiFi 全天营业 店内参观 
好又多餐厅,长乐路132号沃尔玛超市2楼, WiFi 全天营业 店内参观 生日餐会 
永达餐厅,(安医店金寨路与绩溪路东侧）金寨路209号永达大厦1楼, WiFi 全天营业 店内参观 
金华联餐厅,金寨南路1090号肯德基餐厅, WiFi 店内参观 生日餐会 
合盛餐厅,淮河路77号百盛商城1-2楼, WiFi 全天营业 店内参观 
徐州华联餐厅,淮海东路51号华联商厦1楼, WiFi 店内参观 生日餐会 
南京商厦餐厅,龙蟠路2号, 全天营业 店内参观 生日餐会 
大福源餐厅,煤建路8号, WiFi 店内参观 生日餐会 
东山餐厅,东山镇土山路2号, WiFi 全天营业 店内参观 生日餐会 
青山餐厅,关河西路斗巷1幢, WiFi 全天营业 店内参观 
商都餐厅,人民路563号肯德基餐厅, WiFi 生日餐会 
黄金楼餐厅,贡院西街72-94号, WiFi 全天营业 店内参观 
润发餐厅,龙蟠中路260号, WiFi 
龙江润发餐厅,草场门大街99号金润发一楼, WiFi 全天营业 店内参观 
迈皋桥餐厅,和燕路346号（沃尔玛超市一楼）, WiFi 全天营业 
金城餐厅,司马坊60号, WiFi 店内参观 生日餐会 
幸福餐厅,幸福中路世纪大厦一楼, WiFi 全天营业 店内参观 生日餐会 
安宜餐厅,宝应县苏中中路318号, WiFi 全天营业 店内参观 生日餐会 
太平南路餐厅,太平南路304-330号, WiFi 全天营业 店内参观 生日餐会 
泰山餐厅,解放南路延长段28号, WiFi 全天营业 店内参观 生日餐会 
阳光餐厅,高邮市环城路1号, WiFi 全天营业 店内参观 生日餐会 
府山餐厅,叠障中路供销大厦一楼, WiFi 全天营业 店内参观 生日餐会 
昱中餐厅,黄山中路5号巴黎春天一楼肯德基餐厅, WiFi 全天营业 店内参观 生日餐会 
金浦餐厅,珠江镇文德路金浦假日百货一层, WiFi 全天营业 
金利餐厅,大厂区新华路永利晶华城一楼, WiFi 店内参观 生日餐会 
旺湖餐厅,团结路59号市开发公司综合楼一楼, WiFi 全天营业 店内参观 
和平餐厅,和平东路137号, WiFi 全天营业 店内参观 生日餐会 
长江餐厅,（靠近地铁2号线）长江西路地铁2号线C出口, WiFi 店内参观 
仙林文苑餐厅,仙林文苑路108号大成名店一楼, WiFi 全天营业 店内参观 
胜利餐厅,胜利北路88号元一购物广场一层, WiFi 店内参观 生日餐会 
新世纪餐厅,太平南路1号, WiFi 
瑞金餐厅-瑞金路48号餐厅,瑞金路48号, WiFi 全天营业 店内参观 生日餐会 
南京车站餐厅,龙蟠路111号, WiFi 全天营业 
环球餐厅,环球新都会广场1楼, WiFi 全天营业 店内参观 生日餐会 
大桥家乐福餐厅,大桥南路7号, WiFi 全天营业 店内参观 
燕山润发餐厅,燕山中路11号大润发一楼, WiFi 全天营业 店内参观 
芜湖镜湖餐厅,三泰国际大厦世纪联华一、二层, WiFi 生日餐会 
花园餐厅,花园路17号, WiFi 全天营业 
徐州东站餐厅,津浦西路202号火车站一层, 全天营业 
国庆餐厅,淮南田家庵区国庆路大润发一楼, WiFi 店内参观 生日餐会 
沭阳时代餐厅,沭城镇人民中路南侧, WiFi 全天营业 店内参观 
龙津餐厅,龙津路8号金宁广场中区一层, WiFi 全天营业 店内参观 
赣榆黄海路餐厅,青口镇黄海路37号, WiFi 全天营业 店内参观 生日餐会 
邳州时代餐厅,解放东路北侧同盛国际广场一层, WiFi 全天营业 店内参观 生日餐会 
胜太餐厅,将军大道9号一层（近胜太西路）, WiFi 全天营业 
楚州淮城餐厅,淮城镇南门大街2号供销大厦一层, WiFi 店内参观 生日餐会 
长江路餐厅,1912街区长江路肯德基, WiFi 全天营业 店内参观 
桐山餐厅,合安路桐山国际购物广场一层, WiFi 店内参观 
勤业欧尚餐厅,勤业路285号, WiFi 全天营业 店内参观 生日餐会 
洪泽人民餐厅,东风路111号, WiFi 全天营业 店内参观 生日餐会 
盱眙华厦餐厅,华厦国际广场A幢1单元一层, WiFi 全天营业 店内参观 生日餐会 
雨山餐厅,雨山路华润苏果1楼, WiFi 店内参观 
西瀛里餐厅,莱蒙都会国际商业街区A5-1-11,A5-1-12,A5-02-34铺位, WiFi 
泰富餐厅,延陵西路15号嘉宏世纪大厦一、二层, WiFi 店内参观 
蚌埠火车站餐厅,淮河路与广场东路交叉口, WiFi 全天营业 
南京站餐厅,龙蟠路111号南京火车站候车室3楼, 全天营业 
江都商城餐厅,工农路2号江都商城一楼, WiFi 全天营业 店内参观 生日餐会 
扬州大润发广陵餐厅,文昌中路168号, WiFi 全天营业 店内参观 
天长天正餐厅,新河南路10号, WiFi 全天营业 店内参观 生日餐会 
六安皖西餐厅,皖西路与梅山路交汇口新都会广场, WiFi 全天营业 店内参观 生日餐会 
大桥北路餐厅,大桥北路48号华东茂A1栋一层, WiFi 店内参观 生日餐会 
五洋餐厅,水西门大街159号1层, WiFi 全天营业 店内参观 生日餐会 
池州时代餐厅,长江路与秋浦路交叉口时代超市1楼, WiFi 全天营业 店内参观 
北环欧尚餐厅,天宁区永宁路18号, WiFi 店内参观 生日餐会 
芜湖欧尚餐厅,天门山西路与银湖中路交叉口欧尚超市内, WiFi 全天营业 
宿迁楚街餐厅,洪泽湖路98号大润发超市一层, WiFi 全天营业 
虹桥餐厅,中山北路281-2号1-2层, WiFi 店内参观 生日餐会 
涟水苏果餐厅,渠北路53号安东商业广场华润苏果超市1楼, WiFi 全天营业 店内参观 生日餐会 
太和苏果餐厅,人民北路苏果超市一楼, WiFi 全天营业 店内参观 
灌云时代餐厅,胜利路富园广场时代超市1楼, WiFi 全天营业 店内参观 生日餐会 
河西绿轴餐厅,建邺区新安江街99号, WiFi 店内参观 
宿迁时代餐厅,幸福中路2号金柏年财富广场一楼（提醒仔细看餐厅地址哦，别选错）, WiFi 店内参观 生日餐会 
合肥国购餐厅,长江西路与西一环屯溪路交口三里庵安徽国购广场南门, WiFi 全天营业 生日餐会 
宿州京华餐厅,淮海路汴河中路交叉口西南角京华大厦1,2楼, WiFi 店内参观 生日餐会 
武进人民商场餐厅,湖塘镇人民中路20号人民商场1楼, WiFi 店内参观 生日餐会 
巢湖安德利餐厅,巢湖路79号安德利购物广场, WiFi 店内参观 生日餐会 
扬州四望亭餐厅,扬子江北路101号沃尔玛超市一楼, WiFi 全天营业 店内参观 生日餐会 
合肥高新合家福餐厅餐厅,长江西路691号合家福超市二楼, WiFi 店内参观 生日餐会 
东海时代餐厅,和平东路79号时代超市旁, WiFi 全天营业 店内参观 生日餐会 
颖上路餐厅,颍上路89号商厦绿色食品城一楼, WiFi 全天营业 店内参观 生日餐会 
红山餐厅,和燕路252号, WiFi 全天营业 店内参观 生日餐会 
新城市餐厅餐厅,草场门大街新城市广场南门一楼, WiFi 店内参观 生日餐会 
安德门餐厅,地铁一号线安德门地铁站一层2号出口, WiFi 
高淳宏达餐厅,通贤街28-3号宏达大厦1-2层, WiFi 全天营业 店内参观 生日餐会 
山西路餐厅,中山北路107号1-2层(山西路百货大楼), WiFi 全天营业 店内参观 
天元餐厅,天元路388号义乌小商品城A区1栋一层, WiFi 全天营业 
鸠兹广场餐厅,中山路步行街华亿国际购物中心B座(北楼)一、二层, WiFi 店内参观 生日餐会 
临泉路餐厅,新站区临泉路合家福超市一楼, WiFi 全天营业 店内参观 生日餐会 
盛佳餐厅,中山北路1号盛佳大厦1层, WiFi 店内参观 生日餐会 
相山路餐厅,相山南路大华现代城, WiFi 全天营业 店内参观 生日餐会 
沭阳大润发餐厅,上海南路与苏州西路交汇处, WiFi 店内参观 生日餐会 
华城苏果餐厅,华城中路1-3号苏果超市一层, WiFi 全天营业 店内参观 生日餐会 
石鼓路餐厅,石鼓路33号, WiFi 全天营业 店内参观 
泗阳芙蓉餐厅,人民中路万豪国际广场A区一层, WiFi 全天营业 生日餐会 
马鞍山八佰伴餐厅,湖东路以西大华国际广场2期八佰伴一二层, WiFi 全天营业 店内参观 
河西万达餐厅,建邺区万达广场步行街西北侧, WiFi 店内参观 生日餐会 
楚州苏果餐厅,淮城镇东门大街108号一层, WiFi 全天营业 店内参观 生日餐会 
常州百货大楼餐厅,莱蒙都会商业街(A4区百货大楼)4-101、4-201, WiFi 全天营业 店内参观 
濉溪路餐厅,蒙城北路与北环一路交汇处东北角的新天地国际广场一层, WiFi 全天营业 店内参观 生日餐会 
滁州餐厅,南谯北路和天长东路交叉口东南角水石广场一层, WiFi 全天营业 
淮南家乐福餐厅,田家庵区朝阳街道家乐福时代广场商业家乐福超市一层, WiFi 全天营业 店内参观 
紫金餐厅,铁匠营地块的君临紫金商业项目07幢一层01、02号, WiFi 全天营业 店内参观 
花津南路欧尚餐厅,花津南路66号一层, WiFi 店内参观 生日餐会 
合肥潜山路餐厅,潜山路与望江路交叉口东南角信旺广场一层, WiFi 全天营业 店内参观 生日餐会 
江都时代餐厅,东方红路6号时代广场一层, WiFi 店内参观 生日餐会 
泗洪苏果餐厅,泗洪县泗洲西大街12号华润苏果购物广场一层, WiFi 全天营业 店内参观 生日餐会 
仙林金鹰餐厅,学海路1号1层4-102商铺, WiFi 店内参观 
常州客运中心餐厅,火车站北广场客运中心西辅楼二层, WiFi 店内参观 
东方红路苏果餐厅,东方红路18号东方红广场, WiFi 店内参观 生日餐会 
金湖苏果餐厅,金湖路12号与新民路交汇处华润苏果购物广场一、二层, WiFi 全天营业 店内参观 生日餐会 
铁心桥餐厅,铁心桥大街1号, WiFi 全天营业 店内参观 生日餐会 
马鞍山路合家福餐厅,马鞍山路与太湖路交叉口东北角合家福购物广场1,2层, WiFi 店内参观 生日餐会 
庐江百货大楼餐厅,庐城镇文明中路88号1幢1层, WiFi 全天营业 店内参观 生日餐会 
盐河路时代餐厅,朝阳西路与盐河南路交叉口时代超级购物中心一层, WiFi 全天营业 店内参观 生日餐会 
相山大润发餐厅,相山路相王国际广场大润发一楼, WiFi 店内参观 
常州城际餐厅,客运中心北广场火车站内, WiFi 
五星年华餐厅,汉中路141-145号一层, WiFi 
合肥站餐厅,站前路火车站广场东配楼1楼(售票大厅东侧）, WiFi 全天营业 
徐州沃尔玛餐厅,解放南路与和平路交叉口正翔商业广场一层1025单元, WiFi 店内参观 生日餐会 
孟山路餐厅,淮海路北与孟山路西交叉口金鹰购物中心一层, WiFi 全天营业 
绿洲餐厅,梅山街道203道口旁商务楼一层, WiFi 全天营业 店内参观 生日餐会 
雨山沃尔玛餐厅,雨山路与康乐路交汇口印象汇一楼肯德基餐厅, WiFi 店内参观 
邗江乐购餐厅,邗江中路306号乐购超市一楼, WiFi 全天营业 店内参观 
包河万达餐厅,马鞍山路东侧万达商业广场一层, 店内参观 
淮安万达餐厅,翔宇中路169号, WiFi 生日餐会 
蒙城金瑞餐厅,嵇康路与周元路交叉口东北角, 全天营业 店内参观 生日餐会 
世茂大润发餐厅,三环东路以西世茂广场一层, WiFi 店内参观 生日餐会 
颍河大润发餐厅,颍河路与阜南大道交叉口大润发超市一楼, WiFi 店内参观 
紫峰餐厅,中山北路6号, WiFi 店内参观 
马鞍山欧尚餐厅,雨山路与江东大道交叉口欧尚超市一楼, WiFi 店内参观 生日餐会 
金箔餐厅,东山街道金箔路468号中国女人街A区一层, WiFi 全天营业 店内参观 生日餐会 
世纪金源餐厅,徽州大道与紫云路交叉口, WiFi 全天营业 
21世纪餐厅,江宁区天元中路苏果超市一楼肯德基, WiFi 店内参观 生日餐会 
芜湖营盘山路餐厅,北京东路与营盘山路交叉口大润发超市一楼, WiFi 全天营业 店内参观 生日餐会 
敬梓餐厅,儒林路与敬梓路交叉口奥康步行街A区, WiFi 全天营业 店内参观 生日餐会 
灌南世茂餐厅,人民中路世茂时代广场B区, WiFi 全天营业 店内参观 生日餐会 
孝陵卫地铁站餐厅,地铁2号线孝陵卫站, WiFi 店内参观 生日餐会 
尧佳路餐厅,尧化门街179号, WiFi 全天营业 生日餐会 
桐城太阳城餐厅,龙眠路102号太阳城购物中心, WiFi 全天营业 店内参观 生日餐会 
亳州魏武餐厅,魏武大道与光明路交叉口东北角金桥大厦, WiFi 全天营业 店内参观 
宿州时代广场餐厅,汴河路以南二中路以东家乐福世纪广场1层, WiFi 全天营业 
庐阳大润发餐厅,阜阳路和凤台路交界处大润发超市, WiFi 全天营业 店内参观 生日餐会 
常州高铁站餐厅,新北区常州北站czb-1号, WiFi 店内参观 
南京高铁1餐厅,京沪高铁南京南站DD-23号, WiFi 店内参观 生日餐会 
宣城锦城餐厅,叠障中路府山广场台客隆超市1楼, WiFi 店内参观 生日餐会 
宿迁宝龙餐厅,西湖路宝龙城市广场1025-1027商铺, WiFi 店内参观 生日餐会 
文鼎广场餐厅,科学园文鼎广场8号楼一层, WiFi 全天营业 店内参观 生日餐会 
宿州淮海餐厅,淮海北路苏果超市一楼, WiFi 店内参观 生日餐会 
弘阳广场餐厅,弘阳广场B2馆游乐场旁, WiFi 店内参观 生日餐会 
港澳广场餐厅,翡翠路与芙蓉路交叉口西北角港澳广场, WiFi 店内参观 生日餐会 
清河路华联餐厅,阜王路和清河路交叉口华联大厦1层, WiFi 全天营业 店内参观 生日餐会 
明发永辉餐厅,滨江大道1号明发永辉超市一层, WiFi 店内参观 生日餐会 
员村餐厅,黄埔大道中恒隆街3号家乐福超首层, WiFi 生日餐会 
远景餐厅,远景路172号时代新都会首、二层肯德基, WiFi 全天营业 店内参观 生日餐会 
三水广场餐厅,西南镇张边路9号三水广场二座首层1142-1144号铺, WiFi 全天营业 店内参观 生日餐会 
花都广百餐厅,凤凰北路与龙珠路交汇处广百新一城A区首二层, WiFi 店内参观 生日餐会 
西丽餐厅,桥西丽南路西丽广场一层、二层, WiFi 全天营业 店内参观 生日餐会 
林和西餐厅,林和西路广火车东站一楼E区编号为A-14、15首层及夹层, 全天营业 
太和餐厅,太和镇太和广场联升路自编1号首、二层, WiFi 全天营业 生日餐会 
五山餐厅,五山地铁B口, WiFi 全天营业 生日餐会 
南站二餐厅,广州南站三楼B区餐饮夹层（B26-B27检票口上方）, WiFi 全天营业 店内参观 生日餐会 
惠州意生国际餐厅,江北文明一路意生广场首层, WiFi 全天营业 店内参观 生日餐会 
普君餐厅,兆祥路32号首层P3-P6商铺, WiFi 全天营业 店内参观 生日餐会 
光明广场餐厅,西湖路以南、龙藏街以东,光明广场首层二层, WiFi 店内参观 生日餐会 
天佑城餐厅,桂洲大道中63号天佑城乐购首层, WiFi 店内参观 生日餐会 
金沙餐厅,工业大道北76-80号家乐福首层, WiFi 全天营业 生日餐会 
赢之城餐厅,人民二路22号（原清远新城东1号区清远商业文化中心销售中心）首、二层, WiFi 全天营业 
五月花餐厅,中山五路68号负二层, WiFi 
顺联广场餐厅,陈村镇佛陈路与白陈路交汇处顺联广场八号楼华润万家生活超市首层, WiFi 全天营业 店内参观 生日餐会 
中大科技园餐厅,新港西路135号中山大学（南校区）蒲园区628号中大科技综合B座二层, WiFi 全天营业 店内参观 生日餐会 
华侨城餐厅,新城办事处宪梓大道梅州柏丽购物广场首层, WiFi 全天营业 店内参观 生日餐会 
站前餐厅,环西路179号白云城市酒店首层, WiFi 全天营业 
惠东餐厅,平山镇广汕路一至二层, WiFi 全天营业 店内参观 生日餐会 
大学城餐厅,小谷围广州大学城广州大学生活区商业中心首层A1028及二层A2009, WiFi 全天营业 
龙江餐厅,龙江镇文华路盈信广场首二层, WiFi 全天营业 店内参观 生日餐会 
车站餐厅,环西路159号广州火车站内首层候车室大厅右侧, WiFi 
湛江城市广场餐厅,人民大道南路42号城市广场首层, WiFi 全天营业 店内参观 生日餐会 
人和餐厅,人和镇鹤龙六路28号人人佳超市首层, WiFi 全天营业 生日餐会 
星宝餐厅,沙溪镇乐群坎溪村（沙溪镇星宝路3号）星宝明珠花园77卡商铺、78卡商铺、77-2卡商铺, WiFi 全天营业 店内参观 生日餐会 
石牌西餐厅,天河路586号北座二层, WiFi 全天营业 店内参观 生日餐会 
华汇广场餐厅,进港大道华汇广场首层, WiFi 全天营业 店内参观 生日餐会 
高州餐厅,市文明路潘州豪庭C区第一、二层, WiFi 全天营业 店内参观 生日餐会 
阳春大道餐厅,阳春大道盛世大厦1楼, WiFi 店内参观 生日餐会 
东站餐厅,东站路1号首层, WiFi 全天营业 
韶关风度名城餐厅,韶关解放路1号风度名城首、二层, WiFi 全天营业 店内参观 生日餐会 
佳润餐厅,广州大道北1419号佳润广场首层, WiFi 全天营业 店内参观 生日餐会 
英德太阳城餐厅,和平路太阳城广场一层及夹层, WiFi 全天营业 店内参观 生日餐会 
港惠城餐厅,港惠新天地一楼及二楼, WiFi 全天营业 店内参观 生日餐会 
开平万家餐厅,幕沙路70号益华广场A栋首层, WiFi 全天营业 店内参观 生日餐会 
四会龙城餐厅,龙江路1号龙城大酒店首二层, WiFi 全天营业 店内参观 生日餐会 
康乐餐厅,康乐北路9号国际广场首二层, WiFi 全天营业 店内参观 生日餐会 
大亚湾餐厅,大亚湾安惠大道64号蓝湾半岛首二层, WiFi 全天营业 店内参观 生日餐会 
花都百业广场餐厅,新华镇公益路百业广场首层, WiFi 生日餐会 
广州客运站餐厅,环西路158号广州客运站3楼, WiFi 
顺易餐厅,顺易华庭帝景轩J7栋首层, WiFi 店内参观 生日餐会 
康顺餐厅,椹川大道北376号,湛江赤坎嘉信茂广场01层05/06室, WiFi 全天营业 店内参观 生日餐会 
保利水城餐厅,桂城海六路与灯湖东路交界保利水城广场首层, WiFi 全天营业 店内参观 生日餐会 
电白餐厅,人民路7号百富广场首层, WiFi 全天营业 店内参观 生日餐会 
丽莎广场餐厅,狮岭镇阳光南路丽莎广场, WiFi 全天营业 店内参观 
人和地铁站出口餐厅,人和镇鹤龙六路193至247号（人和地铁站C1出口）, WiFi 全天营业 店内参观 生日餐会 
体育中心餐厅,新华南路16号世纪新城首层23-32号铺, WiFi 全天营业 生日餐会 
中环广场餐厅,东海路48号首层, WiFi 全天营业 店内参观 生日餐会 
沙步餐厅,沙步村沙步生活区场商业街三路壹栋黄埔东路2841号, WiFi 全天营业 生日餐会 
星湖国际餐厅,端州四路星湖国际广场, WiFi 全天营业 
吉隆餐厅,吉隆镇广汕路口旁, WiFi 全天营业 生日餐会 
汕尾陆丰餐厅,东海镇桃园区人民路口东侧第一幢大楼郑氏大厦, WiFi 全天营业 店内参观 生日餐会 
怡福国际餐厅,人民大道南28号怡福国际广场首层, WiFi 全天营业 店内参观 生日餐会 
宏明餐厅,宏明路263号时代城首层A33号商铺, WiFi 全天营业 店内参观 生日餐会 
赤岗北餐厅,赤岗北路18号首层自编A01-A03铺, WiFi 全天营业 店内参观 生日餐会 
鸿都餐厅,彬芳大道鸿都花园鸿都商城E1栋首层, WiFi 全天营业 店内参观 生日餐会 
江门益华餐厅,迎宾大道116号金汇城广场首层和负一层, WiFi 全天营业 店内参观 生日餐会 
机场路餐厅,机场路12号首层, WiFi 全天营业 
兴华餐厅,海北路11-31号兴华海之城首层, WiFi 全天营业 店内参观 生日餐会 
今洲广场餐厅,进港大道与金沙路交汇处今洲广场首层, WiFi 全天营业 店内参观 生日餐会 
中山四餐厅,中山四路199号东鸣轩首层, WiFi 全天营业 店内参观 生日餐会 
佳兆业广场餐厅,体育西路191号中石化大厦负一层B-04, WiFi 
